,id,city_code
3528,2130813336,8231
3529,2130813345,8231
3530,2130813368,8231
3531,2130813376,8231
3532,2130813386,8231
3533,2132228711,13227
3534,2132499874,8211
3535,2132499876,8211
3536,2132499879,8211
3537,2132499884,8211
3538,2132499888,8210
3539,2132499892,8210
3540,2132499977,8210
3541,2132499981,8210
3542,2132499982,8210
3543,2132499983,8210
3544,2133157751,11206
3545,2133157834,11206
3546,2133885458,8211
3547,2133885460,8211
3548,2133885465,8211
3549,2133885472,8211
3550,2133885485,8211
3551,2133885493,8211
3552,2133885507,8211
3553,2133885519,8211
3554,2133885530,8211
3555,2133885537,8211
3556,2133885769,8210
3557,2133885780,8210
3558,2133885784,8210
3559,2134365568,12227
3560,2136777867,11206
3561,2136777917,11206
3562,2138379958,14135
3563,2138567365,8210
3564,2138567378,8210
3565,2138567390,8210
3566,2138567398,8210
3567,2138567425,8210
3568,2138567448,8210
3569,2138567449,8210
3570,2138567450,8210
3571,2138567451,8210
3572,2138567455,8210
3573,2138567463,8210
3574,2138567493,8210
3575,2138567514,8210
3576,2139472101,11206
3577,2139796326,13202
3578,2139796335,13202
3579,2139796338,13202
3580,2139796340,13202
3581,2141992376,11206
3582,2141992431,11206
3583,2145130307,13111
3584,2145130314,13111
3585,2145130321,13111
3586,2145130329,13111
3587,2145130338,13111
3588,2145130347,13111
3589,2145130374,13111
3590,2145130389,13111
3591,2145130400,13111
3592,2145130420,13111
3593,2145130430,13111
3594,2145130440,13111
3595,2145130498,13111
3596,2145130502,13111
3597,2145130509,13111
3598,2145130514,13111
3599,2145130605,13111
3600,2145295194,13109
3601,2146059886,11210
3602,2146059890,11210
3603,2146059893,11210
3604,2146059901,11210
3605,2146059911,11210
3606,2146059923,11210
3607,2146059930,11210
3608,2146060549,10521
3609,2146839241,9344
3610,2146839246,9344
3611,2146839265,9344
3612,2146839297,9344
3613,2147427781,12222
3614,2150492998,9344
3615,2150493001,9344
3616,2150493042,9344
3617,2150595870,10210
3618,2151186581,9203
3619,2151414917,12101
3620,2152582670,9203
3621,2152582837,9203
3622,2152582964,9203
3623,2152583280,9203
3624,2153954300,12222
3625,2153982136,12222
3626,2154223956,12222
3627,2155245917,9203
3628,2155245991,9203
3629,2155246064,9203
3630,2155246075,9203
3631,2155583066,12222
3632,2158270626,9203
3633,2158270958,9203
3634,2162588204,14134
3635,2162862435,9386
3636,2162862444,9386
3637,2162862487,9386
3638,2162862492,9386
3639,2162862546,9215
3640,2164598394,9203
3641,2164598592,9203
3642,2164599714,9203
3643,2166408395,9203
3644,2169889727,9386
3645,2169889733,9386
3646,2174217648,9203
3647,2174848016,8217
3648,2176135879,9208
3649,2176136416,9203
3650,2176136527,9203
3651,2177726007,9203
3652,2179176364,9203
3653,2180201234,10208
3654,2191596299,9203
3655,2192589982,9208
3656,2192589997,9208
3657,2192590015,9208
3658,2192590023,9208
3659,2192590028,9208
3660,2192590035,9208
3661,2193347459,9203
3662,2194382363,8207
3663,2195621749,13207
3664,2195621753,13207
3665,2197460715,12207
3666,2197575010,13122
3667,2199772102,9208
3668,2199860663,9208
3669,2199860664,9208
3670,2199860665,9208
3671,2199860666,9208
3672,2199860668,9208
3673,2199860669,9208
3674,2199860671,9208
3675,2199860678,9208
3676,2199860681,9208
3677,2199860684,9208
3678,2199860687,9208
3679,2199860688,9208
3680,2201030497,8215
3681,2208368151,9209
3682,2208368164,9209
3683,2208368198,9209
3684,2210056674,12213
3685,2212673039,12219
3686,2212673076,12219
3687,2212673171,12219
3688,2215237291,9202
3689,2216041391,13120
3690,2217318727,9202
3691,2217319026,9202
3692,2217319298,9202
3693,2217320302,9202
3694,2219466808,9202
3695,2219466809,9202
3696,2226622466,9202
3697,2229555529,10205
3698,2229555745,9202
3699,2234147723,13113
3700,2234987493,9202
3701,2238148795,13116
3702,2238400816,9206
3703,2238713434,9206
3704,2239509404,9202
3705,2240083136,9202
3706,2249418255,9202
3707,2249418498,9202
3708,2249873025,11212
3709,2249873027,11212
3710,2251399076,9206
3711,2252991450,9202
3712,2255786277,15405
3713,2262041190,9202
3714,2262041256,9202
3715,2264565814,9206
3716,2264566477,9206
3717,2264566902,9206
3718,2264567205,9206
3719,2264949526,9202
3720,2264949589,9202
3721,2265472768,9206
3722,2265472803,9206
3723,2265472880,9206
3724,2265472928,9206
3725,2265472948,9206
3726,2265473008,9206
3727,2266011047,9206
3728,2266011084,9206
3729,2266059359,9206
3730,2268518819,14113
3731,2268518862,14113
3732,2269734807,9206
3733,2269734808,9206
3734,2269734809,9206
3735,2269734822,9206
3736,2269734825,9206
3737,2269734827,9206
3738,2269734828,9206
3739,2269734829,9206
3740,2269734855,9206
3741,2270101346,9202
3742,2270824680,9206
3743,2270824741,9206
3744,2270824806,9206
3745,2272801129,14113
3746,2272918715,9206
3747,2272918828,9206
3748,2273596866,14113
3749,2273604332,14113
3750,2273604355,14113
3751,2274047479,14113
3752,2275221598,13112
