,id,pre_code
1766,1126207138,13
1767,1126444277,8
1768,1127749197,13
1769,1127749705,13
1770,1135815817,9
1771,1135816027,9
1772,1143721523,13
1773,1147393723,11
1774,1150947785,11
1775,1163382615,11
1776,1163383603,11
1777,1163705999,13
1778,1172463696,13
1779,1172463782,13
1780,1172465123,13
1781,1176714565,12
1782,1188998626,13
1783,1189201790,13
1784,1189201839,13
1785,1192640549,13
1786,1198286293,7
1787,1199840892,7
1788,1199864071,7
1789,1199931898,13
1790,1200890813,8
1791,1201564377,7
1792,1203085275,8
1793,1203103250,8
1794,1203228692,8
1795,1204183223,8
1796,1204196812,8
1797,1204246003,8
1798,1204285872,7
1799,1204401286,7
1800,1204441331,7
1801,1204441344,7
1802,1205446850,8
1803,1206789916,8
1804,1206790187,8
1805,1206799142,7
1806,1207587602,9
1807,1207589624,9
1808,1207724933,7
1809,1207820709,7
1810,1209202306,8
1811,1209203067,9
1812,1211896479,13
1813,1211896494,13
1814,1211896546,13
1815,1211896547,13
1816,1211926780,7
1817,1212052599,13
1818,1212099338,7
1819,1212976180,9
1820,1213084234,9
1821,1213091528,8
1822,1213168023,7
1823,1213559358,13
1824,1215309072,8
1825,1216079891,7
1826,1216112242,13
1827,1216134156,13
1828,1217416381,7
1829,1218959279,13
1830,1221422065,13
1831,1223197032,8
1832,1223257208,13
1833,1223257225,13
1834,1223257292,13
1835,1223257396,13
1836,1223257413,13
1837,1223956347,9
1838,1223956369,9
1839,1223956557,9
1840,1223956566,9
1841,1225052172,7
1842,1226587717,8
1843,1227757118,9
1844,1228877509,8
1845,1228877656,8
1846,1229291623,7
1847,1229420385,7
1848,1229435608,7
1849,1230309200,7
1850,1230309211,7
1851,1230672769,13
1852,1231031973,7
1853,1231830424,7
1854,1231832257,7
1855,1231872993,7
1856,1231873597,7
1857,1231879378,7
1858,1231881882,7
1859,1231882221,7
1860,1231883285,7
1861,1231887691,7
1862,1232866323,8
1863,1232866344,8
1864,1232866388,8
1865,1232866435,8
1866,1232866487,8
1867,1232932440,7
1868,1233251685,7
1869,1233258386,7
1870,1235465120,7
1871,1235533106,7
1872,1235633668,7
1873,1238395538,9
1874,1239922699,7
1875,1239922806,7
1876,1240963286,7
1877,1244897778,7
1878,1244954649,7
1879,1244954765,7
1880,1245111022,7
1881,1245111905,7
1882,1245117832,7
1883,1245120601,7
1884,1245199156,7
1885,1245199218,7
1886,1247580372,7
1887,1248167377,7
1888,1249166377,7
1889,1250945015,8
1890,1259573433,19
1891,1259575942,19
1892,1259577735,19
1893,1259579372,19
1894,1260510746,8
1895,1270600433,8
1896,1270601249,8
1897,1270623319,8
1898,1271953241,13
1899,1271953353,13
1900,1271953367,13
1901,1276532524,8
1902,1276532661,8
1903,1276532695,8
1904,1278220597,7
1905,1278222268,7
1906,1279174274,7
1907,1279188226,7
1908,1279511090,13
1909,1279700148,13
1910,1280338504,13
1911,1280637526,13
1912,1281695900,13
1913,1282151066,10
1914,1282152954,10
1915,1282155049,10
1916,1282158539,10
1917,1282517188,20
1918,1282606554,10
1919,1282827646,13
1920,1283032084,10
1921,1283033703,10
1922,1283035531,10
1923,1283036273,10
1924,1283036353,10
1925,1283240536,10
1926,1283243073,10
1927,1283246299,10
1928,1283252057,10
1929,1283644146,13
1930,1283818629,8
1931,1283818812,8
1932,1283818844,8
1933,1283849530,11
1934,1283851293,11
1935,1283851452,11
1936,1283853809,11
1937,1283854535,11
1938,1284151376,11
1939,1284158221,11
1940,1284161638,11
1941,1284162813,11
1942,1284164062,11
1943,1284165864,11
1944,1284179459,11
1945,1284566647,11
1946,1284569205,11
1947,1286229523,10
1948,1286230755,10
1949,1286233259,10
1950,1286233365,10
1951,1286233652,10
1952,1292869587,13
1953,1293991060,13
1954,1295849296,12
1955,1300748705,13
1956,1300751083,13
1957,1302658373,12
1958,1302821117,12
1959,1302821139,12
1960,1303183492,12
1961,1304737920,13
1962,1304738251,13
1963,1304786202,13
1964,1304831994,13
1965,1304832735,13
1966,1304832970,13
1967,1307405419,10
1968,1307746847,13
1969,1307800745,13
1970,1309050075,13
1971,1309050176,13
1972,1309051495,13
1973,1309052761,13
1974,1310952989,7
1975,1310956847,7
1976,1311464709,7
1977,1311926315,13
1978,1311960979,13
1979,1312151989,7
1980,1312152791,7
1981,1312155960,7
1982,1312158702,7
1983,1312159762,7
1984,1312165037,7
1985,1312165662,7
1986,1312166075,7
1987,1312175474,7
1988,1312179159,7
1989,1312510813,13
1990,1312511533,13
1991,1312590819,13
1992,1312613630,13
1993,1312648544,13
1994,1312648737,13
1995,1312648839,13
1996,1313150994,7
1997,1313152303,7
1998,1313152952,7
1999,1314780350,9
2000,1314781839,9
2001,1314784193,9
2002,1314785608,9
2003,1314786229,9
2004,1314787630,9
2005,1314788749,9
2006,1314801684,9
2007,1317118990,9
2008,1317119118,9
2009,1317119394,9
2010,1317119455,9
2011,1317367127,13
2012,1317367281,13
2013,1317367714,13
2014,1319535015,7
2015,1319535434,7
2016,1319728259,9
2017,1319729733,9
2018,1319936403,7
2019,1319939636,7
2020,1319940177,7
2021,1319951201,7
2022,1319955443,7
2023,1319969351,11
2024,1321339292,15
2025,1328435551,11
2026,1333621124,11
2027,1337795833,11
2028,1338343114,11
2029,1339557265,11
2030,1339557615,11
2031,1339706730,13
2032,1339706755,13
2033,1340349341,12
2034,1340422280,12
2035,1340590778,12
2036,1340696689,13
2037,1340716502,13
2038,1340743235,11
2039,1340840283,11
2040,1340955950,11
2041,1340956433,11
2042,1340956742,11
2043,1340974545,11
2044,1340974946,11
2045,1341139735,11
2046,1341140916,11
2047,1341141161,11
2048,1341142086,11
2049,1343317913,11
2050,1344260468,12
2051,1345897074,11
2052,1346561731,11
2053,1346564150,11
2054,1346564167,11
2055,1346752728,11
2056,1346850770,12
2057,1346883182,12
2058,1346886574,12
2059,1346901551,12
2060,1347364571,11
2061,1349023806,11
2062,1349023820,11
2063,1349103418,11
2064,1349203152,11
2065,1351058682,9
2066,1352199853,12
2067,1352491432,11
2068,1353124180,9
2069,1353125324,9
2070,1354233467,13
2071,1354660795,14
2072,1354661265,14
2073,1354662199,14
2074,1356047263,11
2075,1356047273,11
2076,1356047285,11
2077,1356049256,11
2078,1356050471,11
2079,1356050692,11
